id_evento,fonte,objeto,id_objeto,nome_host,horario,ns,id_evento_resolvido,horario_resolvido,ns_resolvido,id_correlacao,id_usuario,descricao,reconhecido,severidade,id_evento_causa,dados_operacao,reconhecimentos,dados_supressao,supresso,tags
5531855,0,0,302805,BRUX0477,2024-06-17 15:08:41,580634014,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl123: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (97.9812 %),[],[],0,[]
5531854,0,0,302745,BRUX0477,2024-06-17 15:08:41,580329142,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl178: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (97.753 %),[],[],0,[]
5531853,0,0,302685,BRUX0477,2024-06-17 15:08:41,580224623,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl232: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (97.4365 %),[],[],0,[]
5531852,0,0,302625,BRUX0477,2024-06-17 15:08:41,579734252,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl287: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (95.6975 %),[],[],0,[]
5531851,0,0,302565,BRUX0477,2024-06-17 15:08:41,579422180,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl341: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (96.8583 %),[],[],0,[]
5531850,0,0,302385,BRUX0477,2024-06-17 15:08:41,578623562,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl505: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (97.9813 %),[],[],0,[]
5531849,0,0,302325,BRUX0477,2024-06-17 15:08:41,578304611,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl56: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (98.7718 %),[],[],0,[]
5531848,0,0,302265,BRUX0477,2024-06-17 15:08:41,578104786,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl614: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (98.6681 %),[],[],0,[]
5531847,0,0,302205,BRUX0477,2024-06-17 15:08:41,577609051,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl669: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (98.6681 %),[],[],0,[]
5531839,0,0,302804,BRUX0477,2024-06-17 15:08:40,239268600,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl124: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (98.7103 %),[],[],0,[]
